Date,Open,High,Low,Close,Adj Close,Volume
2015-11-16,21.120001,21.670000,21.010000,21.559999,21.559999,800
2015-11-17,21.230000,21.230000,19.030001,20.900000,20.900000,2700
2015-11-18,20.240000,21.120001,19.469999,20.129999,20.129999,1800
2015-11-19,19.799999,20.350000,19.250000,19.580000,19.580000,3600
2015-11-20,20.350000,20.680000,19.690001,20.350000,20.350000,1700
2015-11-23,20.570000,21.340000,20.459999,21.120001,21.120001,600
2015-11-24,20.900000,21.230000,20.459999,20.680000,20.680000,900
2015-11-25,20.459999,21.230000,20.350000,20.350000,20.350000,3700
2015-11-27,20.350000,20.570000,20.350000,20.570000,20.570000,600
2015-11-30,20.350000,20.790001,19.690001,20.459999,20.459999,2800
2015-12-01,21.120001,21.559999,20.680000,21.010000,21.010000,3300
2015-12-02,20.680000,20.900000,19.910000,20.790001,20.790001,2400
2015-12-03,20.350000,20.680000,19.360001,20.350000,20.350000,2000
2015-12-04,19.910000,20.570000,19.910000,20.350000,20.350000,1900
2015-12-07,20.129999,25.080000,20.129999,22.219999,22.219999,25300
2015-12-08,21.670000,24.090000,21.670000,22.770000,22.770000,9000
2015-12-09,22.770000,23.650000,22.330000,23.540001,23.540001,6300
2015-12-10,23.320000,24.090000,23.100000,24.090000,24.090000,3900
2015-12-11,23.100000,24.639999,21.559999,23.320000,23.320000,5200
2015-12-14,23.870001,24.639999,23.209999,24.200001,24.200001,3500
2015-12-15,23.870001,24.750000,21.889999,22.000000,22.000000,5900
2015-12-16,21.559999,23.430000,21.120001,22.110001,22.110001,5500
2015-12-17,22.000000,24.090000,19.690001,20.350000,20.350000,7400
2015-12-18,22.000000,22.660000,20.790001,20.790001,20.790001,14500
2015-12-21,21.010000,21.340000,20.020000,20.020000,20.020000,4400
2015-12-22,22.110001,22.330000,20.350000,21.340000,21.340000,7400
2015-12-23,22.549999,22.549999,21.230000,21.670000,21.670000,4000
2015-12-24,22.110001,22.219999,21.230000,21.340000,21.340000,3600
2015-12-28,21.670000,23.100000,21.120001,22.110001,22.110001,9500
2015-12-29,22.330000,22.879999,21.120001,21.559999,21.559999,8600
2015-12-30,21.010000,22.549999,21.010000,21.230000,21.230000,28000
2015-12-31,21.450001,21.889999,20.459999,21.340000,21.340000,8500
2016-01-04,22.330000,22.440001,21.120001,21.780001,21.780001,7300
2016-01-05,21.780001,24.969999,21.450001,23.980000,23.980000,19500
2016-01-06,23.650000,23.980000,22.549999,22.990000,22.990000,3100
2016-01-07,22.549999,22.660000,21.230000,22.000000,22.000000,14100
2016-01-08,22.770000,24.420000,21.340000,22.440001,22.440001,3100
2016-01-11,22.110001,23.430000,20.129999,20.459999,20.459999,11500
2016-01-12,21.450001,21.559999,20.020000,21.559999,21.559999,4400
2016-01-13,21.340000,21.670000,18.370001,19.030001,19.030001,7300
2016-01-14,19.910000,20.129999,18.700001,19.250000,19.250000,2800
2016-01-15,18.590000,18.920000,17.270000,18.150000,18.150000,11400
2016-01-19,18.150000,19.139999,17.820000,17.820000,17.820000,1900
2016-01-20,17.490000,18.150000,15.840000,18.040001,18.040001,6900
2016-01-21,19.030001,19.030001,18.150000,18.920000,18.920000,1800
2016-01-22,19.139999,19.250000,18.260000,19.030001,19.030001,3400
2016-01-25,18.150000,19.250000,18.150000,18.590000,18.590000,1400
2016-01-26,18.370001,18.809999,18.150000,18.260000,18.260000,3900
2016-01-27,18.260000,18.920000,18.260000,18.260000,18.260000,4700
2016-01-28,18.700001,18.809999,17.600000,18.480000,18.480000,5700
2016-01-29,18.920000,18.920000,17.709999,17.709999,17.709999,2500
2016-02-01,17.820000,18.150000,17.490000,18.040001,18.040001,2900
2016-02-02,17.930000,18.370001,17.709999,18.260000,18.260000,5000
2016-02-03,18.150000,18.700001,17.379999,17.709999,17.709999,2200
2016-02-04,17.490000,19.030001,17.490000,18.260000,18.260000,2200
2016-02-05,17.490000,17.930000,16.280001,16.610001,16.610001,5600
2016-02-08,17.930000,17.930000,15.070000,15.950000,15.950000,5100
2016-02-09,15.730000,18.700001,13.530000,14.080000,14.080000,11500
2016-02-10,15.620000,16.389999,15.620000,15.620000,15.620000,2800
2016-02-11,15.620000,15.620000,14.520000,15.070000,15.070000,2100
2016-02-12,15.290000,15.290000,14.080000,14.520000,14.520000,900
2016-02-16,15.290000,16.719999,15.180000,15.180000,15.180000,8900
2016-02-17,15.950000,18.480000,14.520000,18.150000,18.150000,7100
